Date,Open,High,Low,Close,Volume,Adj Close
1/28/10,15.93,15.96,15.44,15.44,30159500,15.44
1/27/10,16.459999,16.49,15.77,15.98,41701000,15.98
1/26/10,15.82,16.17,15.7,15.99,43979400,15.99
1/25/10,16.07,16.110001,15.74,15.86,19683700,15.86
1/22/10,16.08,16.209999,15.81,15.88,25132800,15.88
1/21/10,16.389999,16.58,16.1,16.200001,21858400,16.200001
1/20/10,16.65,16.68,16.25,16.379999,14419500,16.379999
1/19/10,16.780001,16.959999,16.639999,16.75,15182600,16.75
1/15/10,17.25,17.25,16.75,16.82,18415000,16.82
1/14/10,16.809999,17.23,16.799999,17.120001,16715600,17.120001
1/13/10,16.879999,16.98,16.65,16.9,16955600,16.9
1/12/10,16.65,16.860001,16.6,16.68,15672400,16.68
1/11/10,16.77,16.83,16.48,16.74,16181900,16.74
1/8/10,16.68,16.76,16.620001,16.700001,15470000,16.700001
1/7/10,16.809999,16.9,16.57,16.700001,31816300,16.700001
1/6/10,17.17,17.299999,17.07,17.17,16422000,17.17
1/5/10,17.219999,17.23,17,17.23,11718100,17.23
1/4/10,16.940001,17.200001,16.879999,17.1,16587400,17.1
12/31/09,16.92,16.959999,16.77,16.780001,9515600,16.780001
12/30/09,16.83,16.99,16.809999,16.98,8188000,16.98
12/29/09,16.84,16.969999,16.68,16.92,13450200,16.92
12/28/09,16.74,16.940001,16.68,16.879999,11504300,16.879999
12/24/09,16.690001,16.75,16.65,16.719999,4736600,16.719999
12/23/09,16.35,16.700001,16,16.67,23584100,16.67
12/22/09,15.88,16.08,15.82,15.98,10631600,15.98
12/21/09,16.110001,16.17,15.85,15.88,17806100,15.88
12/18/09,15.94,16.139999,15.78,16.139999,30021100,16.139999
12/17/09,15.72,15.96,15.64,15.82,26156700,15.82
12/16/09,15.57,15.82,15.47,15.79,20637500,15.79
12/15/09,15.77,15.88,15.65,15.74,13272900,15.74
12/14/09,15.9,15.97,15.64,15.81,18086300,15.81
12/11/09,15.85,15.9,15.62,15.74,22607500,15.74
12/10/09,15.34,15.57,15.24,15.49,18743000,15.49
12/9/09,15.52,15.54,15.12,15.18,25396900,15.18
12/8/09,15.45,15.9,15.23,15.45,31160600,15.45
12/7/09,15.36,15.65,15.32,15.45,18035200,15.45
12/4/09,15.32,15.38,15,15.19,17576000,15.19
12/3/09,15.33,15.38,15.1,15.11,17196200,15.11
12/2/09,15.17,15.5,15.16,15.31,17807800,15.31
12/1/09,15.03,15.19,14.85,15.13,17096500,15.13
11/30/09,14.9,15.1,14.8,14.97,17587000,14.97
11/27/09,15.04,15.09,14.88,15,11452900,15
11/25/09,15.29,15.35,15.17,15.3,21370600,15.3
11/24/09,15.38,15.49,15.2,15.24,19774000,15.24
11/23/09,15.58,15.65,15.34,15.45,24501400,15.45
11/20/09,15.6,15.74,15.36,15.38,16127300,15.38
11/19/09,15.83,15.85,15.52,15.61,26891000,15.61
11/18/09,16.02,16.129999,15.84,15.98,12775400,15.98
11/17/09,15.89,16.110001,15.73,16.049999,22249500,16.049999
11/16/09,16.08,16.190001,15.92,16.07,26125200,16.07
11/13/09,16.040001,16.1,15.92,15.93,26453800,15.93
11/12/09,16.1,16.280001,15.97,16,10210100,16
11/11/09,16,16.16,15.92,16.09,16346100,16.09
11/10/09,16.08,16.360001,16.01,16.040001,24097400,16.040001
11/9/09,16.129999,16.190001,15.97,16.02,14831900,16.02
11/6/09,15.89,16.030001,15.76,15.94,13562500,15.94
11/5/09,15.8,16,15.74,15.9,27732500,15.9
11/4/09,15.9,15.9,15.66,15.69,18697100,15.69
11/3/09,15.71,15.79,15.63,15.7,17240200,15.7
11/2/09,15.75,15.9,15.59,15.85,15258200,15.85
10/30/09,16.059999,16.370001,15.8,15.9,22321700,15.9
10/29/09,16.190001,16.379999,15.74,16.129999,39146700,16.129999
10/28/09,16.690001,16.77,16.02,16.040001,25044800,16.040001
10/27/09,16.690001,16.870001,16.35,16.690001,19917800,16.690001
10/26/09,17.049999,17.200001,16.67,16.870001,21213100,16.870001
10/23/09,17.709999,17.75,17.09,17.219999,17760400,17.219999
10/22/09,17.540001,17.75,17.299999,17.67,16018100,17.67
10/21/09,17.98,18.02,17.57,17.66,46204500,17.66
10/20/09,17.370001,17.41,16.870001,17.17,38320400,17.17
10/19/09,16.799999,17.290001,16.700001,17.219999,17878000,17.219999
10/16/09,16.610001,16.85,16.4,16.809999,20479000,16.809999
10/15/09,16.84,16.889999,16.459999,16.52,24337300,16.52
10/14/09,16.93,17.030001,16.82,16.950001,17508000,16.950001
10/13/09,16.950001,17,16.809999,16.879999,19492500,16.879999
10/12/09,16.959999,17.110001,16.66,16.75,16904700,16.75
10/9/09,17.43,17.48,16.84,16.870001,29015700,16.870001
10/8/09,17.629999,17.860001,17.540001,17.58,27966900,17.58
10/7/09,17.219999,17.49,17.15,17.49,12456700,17.49
10/6/09,16.959999,17.35,16.950001,17.299999,21427600,17.299999
10/5/09,16.85,17.129999,16.66,16.799999,22224900,16.799999
10/2/09,17.23,17.35,16.780001,16.84,32685300,16.84
10/1/09,17.65,17.719999,17.200001,17.389999,24871600,17.389999
9/30/09,17.48,17.940001,17.24,17.809999,39878200,17.809999
9/29/09,17.5,17.66,17.209999,17.450001,31600100,17.450001
9/28/09,16.98,17.469999,16.950001,17.469999,26412200,17.469999
9/25/09,16.799999,17.15,16.75,17.08,20701400,17.08
9/24/09,17.309999,17.32,16.65,16.889999,26493700,16.889999
9/23/09,17.1,17.6,16.969999,17.209999,36814300,17.209999
9/22/09,17.17,17.219999,16.75,16.860001,30588800,16.860001
9/21/09,17.23,17.23,16.959999,17.040001,26826900,17.040001
9/18/09,17.700001,17.700001,16.85,17.389999,86402600,17.389999
9/17/09,17,17.790001,16.959999,17.5,62010000,17.5
9/16/09,16.57,17.110001,16.52,16.99,53594700,16.99
9/15/09,16.01,16.49,15.87,16.41,64668200,16.41
9/14/09,15.45,15.58,15.28,15.57,19451200,15.57
9/11/09,15.53,15.68,15.41,15.59,26860700,15.59
9/10/09,15.28,15.63,15.15,15.45,49083300,15.45
9/9/09,14.45,14.86,14.42,14.78,19096300,14.78
9/8/09,14.65,14.66,14.37,14.49,17712200,14.49
9/4/09,14.26,14.64,14.23,14.5,17003900,14.5
9/3/09,14.36,14.43,14.16,14.28,14661900,14.28
9/2/09,14.08,14.33,13.97,14.23,23591500,14.23
9/1/09,14.5,14.68,14.15,14.18,30615300,14.18
8/31/09,14.74,14.8,14.56,14.61,15420500,14.61
8/28/09,14.98,15.08,14.8,14.85,33918200,14.85
8/27/09,14.92,15,14.71,14.93,30411000,14.93
8/26/09,15.09,15.14,14.86,14.93,15845300,14.93
8/25/09,15.12,15.21,14.94,15.07,22850600,15.07
8/24/09,14.89,15.19,14.83,14.99,26171000,14.99
8/21/09,14.88,14.96,14.73,14.79,23537700,14.79
8/20/09,14.75,14.9,14.7,14.77,15579900,14.77
8/19/09,14.58,14.91,14.55,14.79,15501500,14.79
8/18/09,14.64,14.78,14.56,14.75,14797300,14.75
8/17/09,14.69,14.78,14.51,14.56,29268300,14.56
8/14/09,14.98,15.14,14.85,15.04,28817100,15.04
8/13/09,14.74,15.07,14.61,15.04,40193000,15.04
8/12/09,14.47,14.76,14.41,14.68,24256200,14.68
8/11/09,14.54,14.65,14.33,14.46,17823200,14.46
8/10/09,14.66,14.68,14.49,14.63,18350900,14.63
8/7/09,14.86,14.9,14.56,14.62,28261000,14.62
8/6/09,14.76,14.86,14.63,14.74,35659500,14.74
8/5/09,14.76,14.91,14.61,14.67,50910100,14.67
8/4/09,14.44,14.68,14.37,14.51,43084800,14.51
8/3/09,14.56,14.62,14.3,14.34,43976900,14.34
7/31/09,14.72,14.89,14.29,14.32,62659900,14.32
7/30/09,15.13,15.14,14.24,14.6,100889000,14.6
7/29/09,16,16.200001,15.05,15.14,126807700,15.14
7/28/09,16.969999,17.49,16.52,17.219999,36152600,17.219999
7/27/09,17.370001,17.48,16.85,17,19951800,17
7/24/09,17.43,17.59,17.02,17.48,19944700,17.48
7/23/09,17.41,17.68,17.16,17.360001,37524900,17.360001
7/22/09,16.190001,17.48,16.120001,17.370001,53615500,17.370001
