STN   ,WBAN , YEARMODA,   TEMP,   DEWP,   SLP,   STP,   VISIB,   WDSP,  MXSPD,   GUST,     MAX,     MIN,  PRCP, SNDP,FRSHTT
723150,3812,20000101,44.7,40.3,1022,9999.9,6,3.2,15,20,64,30.9, 0.00D,999.9,100000
723150,3812,20000102,55.5,50,1022.1,9999.9,7.2,6.6,15.9,21,   66.0*,   48.2*, 0.00D,999.9,110000
723150,3812,20000103,58.1,53.6,1019.7,9999.9,9.5,7.2,15,20,66.9,48, 0.00D,999.9,10000
723150,3812,20000104,57.7,50.8,1012.3,9999.9,8.2,10.4,18.1,23.9,   62.1*,   46.4*, 0.06G,999.9,110000
723150,3812,20000105,34.9,23.8,1021.6,9999.9,10,10.2,17.1,27,   46.0*,   28.0*, 0.14G,999.9,1000
723150,3812,20000106,31.6,22.1,1030.6,9999.9,9.6,2.9,8.9,999.9,48,19, 0.00G,999.9,100000
723150,3812,20000107,36.6,24.7,1028.5,9999.9,9.9,8.2,17.1,23.9,   50.0*,   27.0*, 0.00D,999.9,0
723150,3812,20000108,35.7,23.5,1027.5,9999.9,9.9,3.4,8.9,999.9,50,24.1, 0.00C,999.9,0
723150,3812,20000109,42.5,30.9,1018.9,9999.9,6.6,4.2,8.9,999.9,50,24.1, 0.44D,999.9,110000
723150,3812,20000110,52.8,34.1,1008.5,9999.9,5.7,6.5,17.1,27,   60.8*,   46.4*, 1.42G,999.9,110010
723150,3812,20000111,46.5,24.1,1013.2,9999.9,10,6.5,25.1,33,64.9,28.9, 0.03G,999.9,0
723150,3812,20000112,44.7,24.9,1021.3,9999.9,9.9,4.4,11.1,999.9,66,28, 0.00G,999.9,0
723150,3812,20000113,53.7,35,1017.6,9999.9,9.9,10.6,24.1,34,66,28, 0.08D,999.9,10000
723150,3812,20000114,31.5,12.7,1032.7,9999.9,9.9,16.4,28.9,37.9,   41.0*,   24.1*, 0.00H,999.9,1000
723150,3812,20000115,29.4,13.3,1037,9999.9,9.9,3.3,8,999.9,50,15.1, 0.00I,999.9,0
723150,3812,20000116,38.6,23.9,1028.7,9999.9,8.8,5.2,10.1,999.9,50,15.1, 0.00H,999.9,10000
723150,3812,20000117,44.3,24.9,1026.3,9999.9,9.6,6.4,8.9,15,52,27, 0.03A,999.9,0
723150,3812,20000118,35,25.8,1018.8,9999.9,7.1,8.6,19,23.9,52,30, 0.21G,999.9,111000
723150,3812,20000119,36.1,25.9,1015.6,9999.9,9.9,12.2,20,27,45,30, 0.01G,999.9,0
723150,3812,20000120,35.4,27.7,1005.6,9999.9,8,17.7,34,42.9,   42.1*,   26.6*, 0.14G,999.9,111000
723150,3812,20000121,21.8,6.8,1016.3,9999.9,9.9,16.2,25.1,32.1,39.9,14, 0.01G,999.9,0
723150,3812,20000122,21.6,11.5,1021.3,9999.9,7.4,7.2,14,999.9,28.9,14, 0.00G,999.9,101000
723150,3812,20000123,29.6,27.3,1016.3,9999.9,5.9,4.3,8.9,999.9,36,18, 0.03B,999.9,111000
723150,3812,20000124,33.8,30.5,1013.3,9999.9,7.9,10.8,22,29.9,36,25, 0.00I,999.9,100000
723150,3812,20000125,25.1,15.8,1007.4,9999.9,9.7,18.4,27,30.9,36,18, 0.00I,999.9,0
723150,3812,20000126,19.9,10.2,1012.8,9999.9,9.5,16.6,22.9,32.1,30,17.1, 0.00H,999.9,1000
723150,3812,20000127,19.5,5.8,1024.8,9999.9,10,14.6,22,27,   30.2*,   12.2*, 0.00A,999.9,0
723150,3812,20000128,23.6,6.8,1032.1,9999.9,9.9,4.7,12,999.9,37.9,12, 0.00I,999.9,0
723150,3812,20000129,30,16.7,1031.9,9999.9,8.8,5,10.1,999.9,37.9,14, 0.18C,999.9,11000
723150,3812,20000130,28.9,27.7,1023.7,9999.9,3.4,5.9,9.9,999.9,34,26.1, 0.09B,999.9,111000
723150,3812,20000131,27.6,21.5,1018.5,9999.9,9.5,10.1,15,22,   33.1*,   21.2*, 0.00H,999.9,1000
723150,3812,20000201,27.2,19.5,1019.6,9999.9,10,10.3,17.1,22.9,39,19.9, 0.00I,999.9,0
723150,3812,20000202,29.7,16,1025,9999.9,10,12,17.1,22.9,43,19.9, 0.00I,999.9,0
723150,3812,20000203,32.2,15.9,1018.1,9999.9,9.9,4,9.9,999.9,55.9,18, 0.00I,999.9,0
723150,3812,20000204,35.6,22.4,1012.1,9999.9,9.9,7.2,19,22,55.9,18, 0.00H,999.9,1000
723150,3812,20000205,29.5,20.2,1022.8,9999.9,8.9,13.9,26,33,   35.1*,   26.6*, 0.06D,999.9,101000
723150,3812,20000206,33.8,16.8,1027.7,9999.9,9.9,6.9,12,999.9,48.9,25, 0.00I,999.9,0
723150,3812,20000207,39.7,19.1,1024.2,9999.9,9.9,4.9,8.9,999.9,55,25, 0.00I,999.9,0
723150,3812,20000208,36.5,27.4,1026.6,9999.9,9.2,3.1,8,999.9,55,27, 0.00I,999.9,0
723150,3812,20000209,36.4,27.1,1025.3,9999.9,7,1.8,8,999.9,   57.0*,   21.2*, 0.00I,999.9,100000
723150,3812,20000210,41.8,29.9,1017.4,9999.9,8.4,3.7,8.9,999.9,63,21.9, 0.00I,999.9,100000
723150,3812,20000211,50,37.9,1011.9,9999.9,9.6,4.8,13,14,66.9,28.9, 0.00I,999.9,100000
723150,3812,20000212,45.4,44.5,1015.7,9999.9,6,4.4,12,999.9,66.9,36, 0.23G,999.9,110010
723150,3812,20000213,36.5,36,1019.1,9999.9,1.1,7.3,10.1,999.9,48,33.1, 0.57G,999.9,110000
723150,3812,20000214,46,41.6,1009,9999.9,7.3,6.2,22,32.1,60.1,33.1, 0.92G,999.9,110010
723150,3812,20000215,43.6,29,1019.3,9999.9,10,10.2,18.1,25.1,60.1,33.1, 0.00G,999.9,0
723150,3812,20000216,52,35.1,1020.3,9999.9,10,6.3,15,21,70,33.1, 0.00I,999.9,0
723150,3812,20000217,48.6,33.4,1024.8,9999.9,9.9,8.8,14,18.1,70,37, 0.00I,999.9,0
723150,3812,20000218,43.6,38.9,1024.2,9999.9,7.6,8.8,14,20,   55.0*,   35.6*, 0.08G,999.9,110000
723150,3812,20000219,52.2,48,1015.6,9999.9,8.1,12.4,21,28.9,   59.0*,   35.6*, 0.03G,999.9,110000
723150,3812,20000220,36.3,26.2,1025.5,9999.9,10,14.6,21,28,   45.0*,   30.2*, 0.00G,999.9,0
723150,3812,20000221,37.8,22.5,1029.8,9999.9,9.9,9.6,15,20,55,28.9, 0.00I,999.9,0
723150,3812,20000222,36.8,26.3,1031.4,9999.9,9.4,2.1,8,999.9,55,26.1, 0.00H,999.9,10000
723150,3812,20000223,46.2,30.8,1030.9,9999.9,9.9,4.7,11.1,999.9,60.1,26.1, 0.00I,999.9,0
723150,3812,20000224,48.8,39.3,1028.4,9999.9,9.8,5.2,14,18.1,64.9,34, 0.00I,999.9,0
723150,3812,20000225,53.7,44.4,1025.5,9999.9,6.1,3.7,8.9,999.9,72,37, 0.00I,999.9,100000
723150,3812,20000226,52.9,43.7,1025,9999.9,9.3,5,15.9,20,   66.9*,   37.4*, 0.00I,999.9,100000
723150,3812,20000227,56.6,50.4,1021.1,9999.9,8.3,8,14,18.1,68,37.9, 0.50C,999.9,110000
723150,3812,20000228,47.5,32.8,1022.8,9999.9,9.9,10.8,20,22.9,59,39.9,99.99,999.9,10000
723150,3812,20000229,44.6,28.5,1025,9999.9,9.7,4,13,999.9,63,28, 0.00I,999.9,100000
723150,3812,20000301,51.3,35,1018.7,9999.9,10,4.5,14,22.9,71.1,28, 0.00I,999.9,0
723150,3812,20000302,51,32.6,1014.8,9999.9,9.9,12.5,19,25.1,71.1,33.1, 0.00I,999.9,0
723150,3812,20000303,46.9,26.6,1015.3,9999.9,9.9,6.4,11.1,999.9,63,36, 0.00A,999.9,0
723150,3812,20000304,47.7,36.1,1009.3,9999.9,9.6,4.4,17.1,20,63,36, 0.01B,999.9,110000
723150,3812,20000305,49.4,29.3,1015.2,9999.9,10,7.2,15,19,66,30.9, 0.00I,999.9,0
723150,3812,20000306,50.3,30.9,1020.7,9999.9,9.9,1.5,6,999.9,71.1,30.9, 0.00I,999.9,0
723150,3812,20000307,53.6,33.8,1024.4,9999.9,9.9,2.5,12,999.9,75.9,30.9, 0.00I,999.9,0
723150,3812,20000308,57.7,37.6,1020.9,9999.9,9.9,4.3,11.1,999.9,78.1,33.1, 0.00I,999.9,0
723150,3812,20000309,59,44.5,1015.3,9999.9,9.7,4,11.1,16.9,78.1,37, 0.00A,999.9,0
723150,3812,20000310,57.6,45.7,1016.2,9999.9,9.5,2.4,10.1,999.9,73.9,39.9, 0.03A,999.9,0
723150,3812,20000311,58.7,53.3,1012.1,9999.9,8.1,7.6,15.9,21,72,41, 0.62G,999.9,110010
723150,3812,20000312,39.3,31.6,1013.7,9999.9,9.7,15.1,25.1,35,64.9,32, 0.38G,999.9,11000
723150,3812,20000313,35.8,21.4,1024.8,9999.9,9.9,7,15.9,25.1,51.1,23, 0.00G,999.9,0
723150,3812,20000314,40.8,25.3,1025.7,9999.9,9.7,2.3,8.9,999.9,61,23, 0.00I,999.9,100000
723150,3812,20000315,49.9,33.6,1024.2,9999.9,9.9,5.3,12,16.9,66,24.1, 0.00I,999.9,0
