,culture,line,rate,yield
0,C0,HA,0.035580558,0.531100145
1,C1,HA,0.035071756,0.528433006
2,C2,HA,0.035882595,0.534548221
3,C217,HA,0.00611,0.02502
4,C218,HA,0.00651,0.02493
5,C219,HA,0.00527,0.02131
6,C220,HA,0.00446,0.0224
7,C221,HA,0.00543,0.02119
8,C0,HA,0.035580558,0.531100145
9,C1,HA,0.035071756,0.528433006
10,C2,HA,0.035882595,0.534548221
11,C169,HA,0.113705933,0.429563908
12,C170,HA,0.101703266,0.40352239
13,C171,HA,0.118333198,0.44498298
14,C3,HA,0.027380313,0.485458589
15,C4,HA,0.024984595,0.50271209
16,C5,HA,0.026353522,0.517751918
17,C230,HA,0.00601,0.02556
18,C231,HA,0.00431,0.02638
19,C232,HA,0.00418,0.02581
20,C233,HA,0.00495,0.02275
21,C3,HA,0.027380313,0.485458589
22,C4,HA,0.024984595,0.50271209
23,C5,HA,0.026353522,0.517751918
24,C6,HA,0.027436201,0.428451905
25,C7,HA,0.025322777,0.427803724
26,C8,HA,0.025159638,0.420351453
27,C234,HA,0.01131,0.05263
28,C235,HA,0.01201,0.05217
29,C6,HA,0.027436201,0.428451905
30,C7,HA,0.025322777,0.427803724
31,C8,HA,0.025159638,0.420351453
32,C182,HA,0.060555483,0.221493977
33,C183,HA,0.068756726,0.248645067
34,C9,HA,0.02699437,0.470126682
35,C10,HA,0.027264202,0.492766248
36,C11,HA,0.027878193,0.484053519
37,C12,HA,0.02702646,0.479077789
38,C236,HA,0.00383,0.01647
39,C237,HA,0.00384,0.01759
40,C9,HA,0.02699437,0.470126682
41,C10,HA,0.027264202,0.492766248
42,C11,HA,0.027878193,0.484053519
43,C12,HA,0.02702646,0.479077789
44,C189,HA,0.097884012,0.441684811
45,C190,HA,0.09800939,0.417080245
46,C13,HR,0.041475167,0.561721945
47,C14,HR,0.036516516,0.53128205
48,C15,HR,0.031273395,0.492577007
49,C13,HR,0.041475167,0.561721945
50,C14,HR,0.036516516,0.53128205
51,C15,HR,0.031273395,0.492577007
52,C195,HR,0.091466417,0.41901464
53,C196,HR,0.084701404,0.378675991
54,C197,HR,0.09480568,0.413431023
55,C16,HR,0.030092764,0.519520017
56,C17,HR,0.029688449,0.525941478
57,C18,HR,0.027578416,0.495280662
58,C16,HR,0.030092764,0.519520017
59,C17,HR,0.029688449,0.525941478
60,C18,HR,0.027578416,0.495280662
61,C200,HR,0.109850027,0.476211176
62,C201,HR,0.088815538,0.40096971
63,C19,HR,0.02815141,0.569667064
64,C20,HR,0.029116251,0.570040047
65,C21,HR,0.027243055,0.556392162
66,C238,HR,0.00453,0.02371
67,C239,HR,0.005,0.02331
68,C240,HR,0.00475,0.0252
69,C241,HR,0.00522,0.02573
70,C242,HR,0.00534,0.02584
71,C243,HR,0.00499,0.02302
72,C244,HR,0.00583,0.02288
73,C245,HR,0.00415,0.02466
74,C246,HR,0.00542,0.02311
75,C247,HR,0.00514,0.02489
76,C19,HR,0.02815141,0.569667064
77,C20,HR,0.029116251,0.570040047
78,C21,HR,0.027243055,0.556392162
79,C206,HR,0.065735855,0.241235169
80,C207,HR,0.085054625,0.265529307
81,C208,HR,0.070856245,0.299771583
82,C22,UA,0.024214387,0.499842709
83,C23,UA,0.024585823,0.501801758
84,C24,UA,0.024172419,0.501851852
85,C248,UA,0.00441,0.02117
86,C249,UA,0.0054,0.02347
87,C250,UA,0.00468,0.0206
88,C251,UA,0.00613,0.02352
89,C252,UA,0.00495,0.02153
